,ASGN,AVA,B,BCPC,CACI,CBU,CHE,COLB,FCFS,FFIN,FIVE,GBCI,GDOT,HAE,HI,IART,JBT,KFY,KS,NEOG,NSP,PDCE,PSB,QLYS,SIGI,SKYW,STMP,TREX,VAC,WWE
2013-05-10,26.200001,23.89316,27.729038,42.149658,60.610001,24.86129,61.442066,19.251616,53.019627,22.938614,38.419998,15.790087,18.059999,39.799999,21.953302,17.74,19.944304,16.749592,13.423558,26.541636,11.562779,48.099998,73.513206,11.26,21.45789,13.685907,35.779999,27.120001,43.46854,8.131353
2013-05-13,26.120001,23.677458,27.389957,42.374172,60.400002,24.869825,62.374771,19.215765,52.582729,22.880716,38.630001,15.957794,17.99,39.580002,21.944489,17.940001,19.896477,16.384846,13.474988,26.806702,11.618085,47.91,73.425728,12.94,21.807096,13.818968,35.970001,27.084999,43.459064,8.036098
2013-05-14,26.709999,23.851675,27.992762,44.014076,60.919998,25.049049,63.336281,19.493607,53.631279,23.544376,39.610001,16.209364,18.620001,39.610001,22.208773,17.934999,20.173882,16.711195,13.545123,26.631659,11.752397,49.73,73.434464,12.81,22.340097,13.723925,36.450001,27.49,43.582336,8.17465
2013-05-15,26.190001,24.083975,28.350683,44.990215,61.52,25.049049,63.932449,19.583227,53.573025,23.873978,39.580002,16.276449,18.25,39.599998,22.384968,17.754999,20.432154,17.200724,13.456288,27.031757,11.776099,48.84,74.738144,13.25,22.395235,13.809461,36.5,28.25,43.800446,7.932183
2013-05-16,25.719999,23.967823,28.331842,46.112778,61.669998,25.05759,64.105507,19.529455,53.437099,23.998695,39.48,16.351919,18.65,39.889999,22.147108,18.055,20.518244,17.143135,13.241213,27.006752,11.807703,48.07,74.11692,13.85,22.441183,13.467315,37.049999,28.225,43.08923,7.940844
2013-05-17,25.889999,24.142044,28.802782,46.610607,63.27,25.288023,65.557434,19.744556,54.126423,24.479736,39.400002,16.586716,18.48,41.139999,22.050203,18.264999,20.757381,17.258316,13.269264,27.681921,11.922264,49.279999,74.501915,13.66,22.431997,13.495826,37.709999,28.495001,42.140972,8.01012
2013-05-20,25.99,24.166931,28.633244,45.302582,64.510002,25.373369,65.701668,19.71767,53.679817,24.764799,39.48,16.645414,18.9,41.029999,22.023773,18.48,20.833908,17.210325,13.180427,27.546886,12.163238,51.610001,74.860657,13.43,22.165495,13.476819,37.810001,28.379999,41.590981,7.984141
2013-05-21,26.26,24.020218,28.765104,44.951164,64.199997,25.313625,65.903595,19.735596,53.747784,24.809338,39.41,16.653807,18.799999,41.810001,21.935677,18.469999,20.92,17.008753,13.082242,27.696924,12.151385,50.990002,75.000633,13.61,22.018452,13.552853,37.77,28.424999,41.524601,7.932183
2013-05-22,26.5,23.458487,28.143463,44.912128,62.880001,24.878359,65.086296,19.466717,52.932243,24.853886,38.919998,16.393847,18.24,41.299999,21.565683,18.25,20.661724,16.88397,12.834435,27.176794,12.127685,48.66,73.539474,14.08,21.660063,13.448306,35.25,27.969999,40.652199,7.828269
2013-05-23,26.75,23.265656,28.27533,44.629051,63.650002,24.852758,65.124748,19.37709,52.466221,24.350567,38.470001,16.419006,18.1,41.279999,21.283777,18.254999,20.479218,16.739996,13.110294,27.321831,12.009173,49.84,72.445778,14.48,21.641682,13.790454,35.470001,27.629999,41.979763,7.932183
2013-05-24,26.620001,23.005749,28.454887,45.283058,63.450001,25.125866,65.643974,19.502567,52.514774,24.559912,37.580002,16.544788,18.190001,41.080002,21.477587,18.200001,20.575272,16.739996,13.194453,27.366842,11.910413,50.040001,71.264587,14.21,21.908184,13.676404,36.07,27.795,41.562538,8.036098
